Date/Time	Lamp_State	Fan_State	Bathroom_Humidity	Bathroom_Temperature	Bedroom1_Humidity	Bedroom1_Temperature	Kitchen_Humidity	Kitchen_Temperature	Diningroom_Humidity	Diningroom_Temperature	Livingroom1_Humidity	Livingroom1_Temperature	Livingroom2_Humidity	Livingroom2_Temperature	Bedroom2_Humidity	Bedroom2_Temperature
2019-07-11 11:03:06.056008	1	1	74.0	69.8	162.0	51.8	68.0	69.8	66.0	69.8	64.0	69.8	65.0	69.8	61.0	73.4	
2019-07-11 11:04:09.853149	1	1	73.0	69.8	67.0	71.6	68.0	71.6	66.0	69.8	64.0	69.8	65.0	69.8	60.0	73.4	
2019-07-11 11:05:13.646322	1	1	68.0	75.2	66.0	73.4	62.0	75.2	66.0	71.6	60.0	73.4	66.0	71.6	54.0	77.0	
2019-07-11 11:06:22.516171	1	1	67.0	75.2	61.0	77.0	61.0	75.2	65.0	71.6	60.0	73.4	64.0	71.6	54.0	77.0	
2019-07-11 11:07:26.347397	1	1	68.0	75.2	55.0	80.6	64.0	73.4	65.0	71.6	60.0	73.4	63.0	71.6	55.0	75.2	
2019-07-11 11:08:35.230643	1	1	68.0	75.2	46.0	86.0	65.0	73.4	62.0	71.6	61.0	73.4	63.0	73.4	56.0	75.2	
2019-07-11 11:09:44.116187	1	1	68.0	75.2	46.0	86.0	62.0	73.4	33.0	51.8	60.0	73.4	62.0	73.4	57.0	75.2	
2019-07-11 11:10:50.460128	1	1	67.0	77.0	44.0	87.8	66.0	73.4	66.0	71.6	59.0	75.2	61.0	73.4	57.0	75.2	
2019-07-11 11:11:59.359031	1	1	67.0	77.0	41.0	89.6	66.0	73.4	66.0	71.6	59.0	75.2	60.0	75.2	58.0	75.2	
2019-07-11 11:13:13.339144	1	1	66.0	77.0	41.0	91.4	67.0	71.6	63.0	71.6	58.0	75.2	59.0	75.2	58.0	75.2	
2019-07-11 11:14:17.152135	1	1	65.0	77.0	39.0	91.4	67.0	71.6	67.0	71.6	57.0	75.2	59.0	75.2	58.0	75.2	
2019-07-11 11:15:23.492753	1	1	65.0	78.8	37.0	93.2	68.0	71.6	63.0	71.6	54.0	77.0	57.0	75.2	58.0	75.2	
2019-07-11 11:16:32.381463	1	1	64.0	78.8	36.0	93.2	68.0	71.6	67.0	71.6	54.0	77.0	55.0	77.0	59.0	75.2	
2019-07-11 11:17:43.773859	1	1	64.0	78.8	36.0	93.2	68.0	71.6	67.0	71.6	54.0	77.0	55.0	77.0	59.0	75.2	
2019-07-11 11:19:00.321327	1	1	63.0	78.8	36.0	93.2	67.0	71.6	67.0	71.6	54.0	77.0	55.0	77.0	59.0	75.2	
2019-07-11 11:20:14.257980	1	1	63.0	80.6	36.0	93.2	64.0	71.6	66.0	71.6	154.0	53.6	55.0	77.0	60.0	75.2	
2019-07-11 11:21:18.072791	1	1	63.0	80.6	35.0	95.0	68.0	71.6	66.0	71.6	52.0	77.0	54.0	77.0	59.0	75.2	
2019-07-11 11:22:26.937701	1	1	63.0	80.6	35.0	96.8	68.0	71.6	65.0	71.6	51.0	77.0	54.0	77.0	60.0	75.2	
2019-07-11 11:23:40.895144	1	1	63.0	80.6	35.0	96.8	67.0	71.6	66.0	71.6	52.0	78.8	54.0	77.0	59.0	75.2	
2019-07-11 11:24:47.246348	1	1	62.0	80.6	35.0	96.8	68.0	71.6	66.0	71.6	52.0	78.8	54.0	78.8	60.0	75.2	
2019-07-11 11:25:56.115381	1	1	62.0	80.6	34.0	96.8	68.0	71.6	65.0	71.6	52.0	78.8	54.0	78.8	60.0	75.2	
2019-07-11 11:27:02.450968	1	1	61.0	80.6	34.0	96.8	68.0	73.4	66.0	71.6	51.0	78.8	54.0	78.8	59.0	75.2	
2019-07-11 11:28:08.800774	1	1	62.0	82.4	34.0	96.8	68.0	73.4	65.0	71.6	51.0	78.8	53.0	78.8	60.0	75.2	
2019-07-11 11:29:20.191362	1	1	62.0	82.4	33.0	98.6	68.0	71.6	62.0	71.6	51.0	78.8	54.0	78.8	60.0	75.2	
2019-07-11 11:30:26.551060	1	1	62.0	82.4	33.0	98.6	65.0	71.6	65.0	71.6	53.0	78.8	55.0	78.8	60.0	75.2	
2019-07-11 11:31:37.961468	1	1	62.0	82.4	34.0	98.6	67.0	73.4	65.0	71.6	154.0	55.4	54.0	78.8	60.0	75.2	
2019-07-11 11:32:46.822097	1	1	62.0	82.4	33.0	98.6	65.0	73.4	62.0	71.6	52.0	78.8	54.0	78.8	60.0	75.2	
2019-07-11 11:33:58.214777	1	1	62.0	82.4	32.0	96.8	67.0	73.4	62.0	71.6	53.0	78.8	155.0	55.4	60.0	75.2	
2019-07-11 11:35:07.095289	1	1	62.0	82.4	32.0	96.8	69.0	73.4	66.0	71.6	53.0	80.6	55.0	78.8	60.0	75.2	
2019-07-11 11:36:18.480736	1	1	61.0	82.4	33.0	96.8	66.0	73.4	66.0	71.6	53.0	78.8	55.0	78.8	59.0	75.2	
2019-07-11 11:37:24.808077	1	0	61.0	84.2	33.0	95.0	69.0	73.4	67.0	71.6	53.0	80.6	55.0	78.8	58.0	77.0	
2019-07-11 11:38:33.661502	1	0	60.0	84.2	34.0	96.8	69.0	73.4	66.0	71.6	52.0	80.6	54.0	78.8	58.0	77.0	
2019-07-11 11:39:50.141445	1	0	59.0	84.2	34.0	96.8	68.0	73.4	66.0	71.6	52.0	80.6	55.0	78.8	58.0	77.0	
2019-07-11 11:40:53.969737	1	0	60.0	82.4	33.0	96.8	68.0	73.4	66.0	71.6	52.0	80.6	54.0	78.8	58.0	77.0	
2019-07-11 11:42:00.297045	1	0	61.0	82.4	33.0	96.8	68.0	73.4	66.0	71.6	52.0	80.6	155.0	55.4	59.0	77.0	
2019-07-11 11:43:11.699817	1	0	61.0	82.4	33.0	98.6	68.0	73.4	66.0	71.6	52.0	80.6	53.0	78.8	59.0	77.0	
2019-07-11 11:44:15.516223	1	0	62.0	82.4	32.0	98.6	69.0	73.4	66.0	71.6	52.0	80.6	54.0	78.8	60.0	77.0	
2019-07-11 11:45:24.377528	1	0	62.0	82.4	30.0	98.6	67.0	73.4	65.0	71.6	52.0	80.6	54.0	78.8	60.0	77.0	
2019-07-11 11:46:30.719439	1	0	62.0	82.4	31.0	98.6	67.0	73.4	65.0	71.6	52.0	80.6	51.0	78.8	61.0	77.0	
2019-07-11 11:47:37.048263	1	0	62.0	82.4	30.0	98.6	67.0	73.4	65.0	71.6	51.0	80.6	53.0	80.6	62.0	77.0	
2019-07-11 11:48:45.904356	1	0	62.0	82.4	30.0	98.6	66.0	73.4	65.0	71.6	51.0	80.6	51.0	80.6	61.0	77.0	
2019-07-11 11:49:49.707226	1	0	63.0	82.4	30.0	98.6	67.0	73.4	67.0	71.6	50.0	80.6	54.0	80.6	62.0	77.0	
2019-07-11 11:50:58.559547	1	0	64.0	84.2	31.0	100.4	68.0	73.4	67.0	71.6	50.0	80.6	54.0	80.6	62.0	77.0	
2019-07-11 11:52:04.907757	1	0	63.0	84.2	31.0	98.6	68.0	73.4	67.0	71.6	50.0	80.6	54.0	80.6	61.0	77.0	
2019-07-11 11:53:08.731143	1	0	63.0	84.2	31.0	98.6	69.0	73.4	68.0	71.6	50.0	80.6	55.0	80.6	61.0	77.0	
2019-07-11 11:54:17.584935	1	0	63.0	84.2	31.0	98.6	68.0	73.4	68.0	73.4	51.0	80.6	55.0	80.6	61.0	77.0	
2019-07-11 11:55:26.443188	1	0	59.0	84.2	30.0	98.6	66.0	73.4	66.0	71.6	51.0	80.6	55.0	80.6	62.0	77.0	
2019-07-11 11:56:32.771434	1	0	59.0	84.2	30.0	98.6	66.0	73.4	65.0	71.6	49.0	80.6	55.0	80.6	62.0	77.0	
2019-07-11 11:57:41.628781	1	0	58.0	86.0	30.0	100.4	66.0	73.4	65.0	71.6	49.0	80.6	54.0	80.6	61.0	77.0	
2019-07-11 11:58:50.526595	1	0	58.0	86.0	30.0	100.4	66.0	73.4	65.0	71.6	50.0	80.6	54.0	80.6	61.0	77.0	
2019-07-11 11:59:54.324242	1	0	59.0	86.0	30.0	100.4	67.0	73.4	66.0	73.4	49.0	80.6	54.0	80.6	60.0	77.0	
2019-07-11 12:01:00.662881	1	0	60.0	84.2	30.0	100.4	68.0	73.4	67.0	71.6	48.0	80.6	53.0	80.6	61.0	77.0	
